id,district,street,house_number,metro_station,metro_distance_min,area_m2,living_area_m2,kitchen_area_m2,rooms,floor,total_floors,house_type,wall_material,year_built,repair,balcony,ceiling_height_m,bathroom_type,has_elevator,has_parking,has_furniture,heating_type,window_view,security,deal_type,seller_type,price_rub,price_per_m2,listing_date
1630,Фрунзенский,Гагарина,78,Парк Культуры,40,76.5,51.0,8.4,2,16,19,Деревянный,Газобетон,2005,Косметический,Балкон,3.29,Раздельный,Нет,Нет,Нет,Автономное,На парк,Нет,Аренда,Собственник,5990485,78307,2025-10-24
1631,Октябрьский,Гагарина,59,Заречная,5,85.6,58.8,18.8,3,13,17,Панельный,Монолит,2024,Без ремонта,Нет,3.03,Совмещенный,Да,Да,Да,Центральное,Смешанный,Нет,Продажа,Агентство,26608931,310852,2026-03-27
1632,Кировский,Университетская,39,Юбилейная,42,141.2,97.9,8.6,3,10,10,Кирпичный,Монолит,1974,Дизайнерский,2 лоджии,3.24,Раздельный,Нет,Да,Да,Электрическое,На улицу,Нет,Аренда,Собственник,19459478,137815,2025-09-07
1633,Московский,Кирова,155,Юбилейная,13,106.3,60.4,17.1,1,7,20,Монолитно-кирпичный,Монолит,2023,Косметический,Нет,2.74,Раздельный,Да,Нет,Нет,Центральное,На улицу,Нет,Аренда,Собственник,13499249,126992,2026-04-22
1634,Кировский,Строителей,100,Университет,8,80.7,55.9,19.6,5,2,6,Монолитно-кирпичный,Монолит,1987,Требует капремонта,Балкон,2.66,Раздельный,Да,Нет,Да,Центральное,На реку,Нет,Продажа,Агентство,15665806,194124,2025-10-10
1635,Советский,Пушкина,34,Парк Культуры,9,34.4,19.1,6.0,4,4,13,Панельный,Монолит,1966,Дизайнерский,Балкон + лоджия,2.94,2 санузла,Нет,Да,Да,Центральное,Во двор,Нет,Аренда,Собственник,4366357,126929,2025-06-17
1636,Западный,Университетская,120,Заречная,24,39.2,26.9,10.0,2,6,13,Кирпичный,Панель,1984,Без ремонта,Лоджия,2.72,2 санузла,Нет,Нет,Нет,Газовое,Смешанный,Нет,Продажа,Собственник,8040194,205107,2025-11-10
1637,Центральный,Кирова,155,Спортивная,18,112.2,76.9,21.3,4,6,23,Блочный,Дерево,1995,Без ремонта,2 лоджии,3.33,2 санузла,Нет,Нет,Нет,Газовое,На реку,Да,Аренда,Собственник,21774766,194071,2025-10-28
1638,Советский,Садовая,113,Южная,43,29.2,16.3,16.7,1,16,27,Монолитный,Газобетон,1971,Дизайнерский,2 лоджии,3.3,2 санузла,Нет,Да,Нет,Электрическое,Во двор,Нет,Продажа,Собственник,5108569,174951,2025-05-27
1639,Фрунзенский,Советская,186,Юбилейная,6,115.9,82.2,17.3,6,11,28,Кирпичный,Монолит,2017,Требует капремонта,2 лоджии,3.18,Раздельный,Да,Нет,Да,Автономное,На улицу,Да,Продажа,Агентство,26446641,228185,2025-10-06
1640,Ленинский,Ленина,173,Площадь Ленина,25,89.5,62.7,15.8,5,2,13,Кирпичный,Газобетон,1985,Дизайнерский,Балкон + лоджия,2.91,Раздельный,Нет,Да,Нет,Газовое,На улицу,Нет,Аренда,Застройщик,22897948,255843,2026-07-19
1641,Советский,Строителей,199,Проспект Мира,22,106.6,77.3,19.5,5,5,17,Монолитно-кирпичный,Панель,1972,Дизайнерский,Балкон + лоджия,3.31,2 санузла,Да,Нет,Да,Электрическое,Во двор,Нет,Продажа,Собственник,12314751,115523,2025-06-09
1642,Ленинский,Лесная,132,Площадь Ленина,43,148.1,103.1,7.7,5,1,4,Монолитный,Монолит,1989,Дизайнерский,Балкон,3.04,Раздельный,Нет,Да,Да,Автономное,На улицу,Нет,Продажа,Застройщик,24872506,167944,2026-02-22
1643,Приморский,Пушкина,37,Университет,13,101.7,56.5,21.9,1,22,24,Монолитно-кирпичный,Кирпич,1997,Евроремонт,Балкон,2.77,Совмещенный,Нет,Нет,Нет,Центральное,Во двор,Да,Продажа,Агентство,12859151,126442,2026-03-27
1644,Центральный,Победы,20,Парк Культуры,45,79.4,44.3,9.3,1,7,29,Монолитно-кирпичный,Монолит,1999,Требует капремонта,Нет,3.09,Раздельный,Да,Да,Нет,Центральное,На парк,Да,Продажа,Застройщик,10295877,129671,2026-06-11
1645,Кировский,Гагарина,190,Проспект Мира,39,116.1,83.8,21.8,3,7,16,Деревянный,Дерево,2010,Косметический,Лоджия,2.58,Совмещенный,Нет,Да,Нет,Центральное,На реку,Нет,Продажа,Застройщик,26959348,232208,2025-11-27
1646,Западный,Гагарина,61,Площадь Ленина,13,41.4,25.7,7.8,4,20,26,Монолитный,Дерево,1985,Косметический,2 лоджии,3.24,Раздельный,Нет,Да,Нет,Газовое,На реку,Нет,Продажа,Собственник,3247084,78432,2025-07-27
1647,Московский,Молодежная,71,Северная,8,150.3,101.4,11.5,1,10,20,Панельный,Газобетон,1999,Дизайнерский,Лоджия,2.83,2 санузла,Да,Нет,Да,Электрическое,На парк,Нет,Продажа,Собственник,20131332,133941,2025-03-23
1648,Кировский,Кирова,39,Северная,10,82.1,47.6,18.6,4,2,14,Блочный,Дерево,2006,Требует капремонта,Нет,3.0,Совмещенный,Да,Нет,Нет,Электрическое,На улицу,Нет,Аренда,Собственник,19696528,239909,2025-08-17
1649,Кировский,Молодежная,85,Площадь Ленина,18,152.0,104.3,16.5,1,20,21,Монолитно-кирпичный,Кирпич,1979,Евроремонт,Балкон,3.13,Раздельный,Да,Да,Да,Газовое,На парк,Да,Аренда,Застройщик,21131192,139021,2026-05-06
1650,Западный,Лесная,188,Парк Культуры,44,115.2,69.2,16.6,2,2,8,Деревянный,Панель,1963,Косметический,Лоджия,2.68,Совмещенный,Нет,Нет,Нет,Автономное,Во двор,Нет,Аренда,Собственник,12355315,107251,2025-07-23
1651,Западный,Университетская,122,Проспект Мира,39,83.3,47.0,11.9,1,5,16,Монолитно-кирпичный,Дерево,1982,Евроремонт,Балкон + лоджия,3.39,Совмещенный,Нет,Нет,Нет,Электрическое,Во двор,Да,Продажа,Собственник,9945686,119396,2026-05-02
1652,Ленинский,Ленина,50,Юбилейная,18,113.8,65.8,8.4,1,9,10,Панельный,Панель,2016,Без ремонта,Балкон + лоджия,2.63,Раздельный,Нет,Нет,Да,Автономное,На улицу,Да,Продажа,Застройщик,27306651,239953,2026-01-14
1653,Восточный,Кирова,115,Северная,5,35.6,24.0,17.5,3,11,21,Монолитный,Монолит,1986,Косметический,Лоджия,2.81,Совмещенный,Да,Да,Да,Центральное,Во двор,Да,Аренда,Собственник,8311781,233477,2026-05-30
1654,Ленинский,Университетская,177,Юбилейная,43,155.6,113.8,6.9,2,11,28,Кирпичный,Газобетон,2011,Косметический,Балкон + лоджия,3.01,2 санузла,Нет,Нет,Да,Центральное,На реку,Нет,Аренда,Застройщик,27672059,177841,2026-01-23
1655,Советский,Победы,5,Юбилейная,30,145.2,100.4,17.0,6,6,7,Кирпичный,Монолит,2015,Требует капремонта,Лоджия,2.88,Совмещенный,Да,Да,Да,Автономное,Во двор,Нет,Аренда,Застройщик,32303079,222473,2025-08-20
1656,Ленинский,Ленина,5,Спортивная,20,27.7,15.3,20.4,3,10,10,Монолитно-кирпичный,Панель,2006,Дизайнерский,Балкон + лоджия,2.95,Совмещенный,Нет,Да,Нет,Центральное,На реку,Да,Продажа,Агентство,6541105,236141,2026-04-04
1657,Восточный,Победы,28,Спортивная,22,43.5,32.0,7.1,4,17,17,Блочный,Кирпич,1962,Евроремонт,Нет,2.76,Совмещенный,Нет,Да,Да,Автономное,На парк,Нет,Аренда,Собственник,3825912,87952,2025-03-07
1658,Приморский,Советская,64,Юбилейная,43,141.8,91.2,17.0,5,4,13,Монолитно-кирпичный,Газобетон,1977,Без ремонта,Лоджия,2.74,Раздельный,Да,Да,Да,Электрическое,Во двор,Нет,Аренда,Застройщик,44899977,316643,2025-05-12
1659,Восточный,Молодежная,100,Проспект Мира,19,48.2,34.1,12.4,6,9,9,Панельный,Монолит,2010,Без ремонта,Балкон + лоджия,3.39,Раздельный,Да,Да,Нет,Электрическое,Во двор,Нет,Продажа,Агентство,3952207,81996,2025-12-26
1660,Фрунзенский,Строителей,166,Парк Культуры,42,102.4,67.9,12.7,4,9,17,Деревянный,Панель,1965,Требует капремонта,Нет,3.27,2 санузла,Да,Нет,Да,Газовое,На парк,Да,Аренда,Собственник,26512588,258912,2025-09-01
1661,Кировский,Мира,68,Заречная,45,90.1,53.6,10.8,5,9,23,Монолитный,Кирпич,2014,Евроремонт,2 лоджии,2.84,Совмещенный,Да,Нет,Да,Центральное,Во двор,Да,Аренда,Агентство,24039941,266814,2025-08-27
1662,Фрунзенский,Советская,37,Проспект Мира,31,84.3,58.1,14.2,6,12,20,Деревянный,Монолит,2016,Требует капремонта,Балкон + лоджия,2.53,Раздельный,Да,Нет,Нет,Газовое,На парк,Нет,Аренда,Собственник,17343207,205732,2026-04-05
1663,Ленинский,Пушкина,177,Северная,17,108.7,75.4,16.5,5,7,7,Монолитный,Газобетон,1962,Евроремонт,Лоджия,2.84,Раздельный,Да,Да,Нет,Электрическое,Смешанный,Нет,Продажа,Собственник,21848373,200997,2025-02-12
1664,Восточный,Университетская,128,Спортивная,37,38.7,26.9,15.1,2,3,6,Монолитно-кирпичный,Панель,1974,Требует капремонта,Балкон,2.94,Раздельный,Да,Нет,Да,Центральное,Во двор,Да,Аренда,Собственник,6320561,163322,2026-05-12
1665,Фрунзенский,Мира,69,Заречная,22,72.6,47.2,14.8,1,11,25,Монолитный,Панель,2017,Косметический,Балкон + лоджия,2.83,Раздельный,Да,Нет,Да,Автономное,Во двор,Да,Аренда,Застройщик,14930262,205651,2025-03-01
1666,Южный,Победы,199,Автозаводская,37,71.7,53.7,19.2,2,17,21,Монолитный,Монолит,1993,Косметический,2 лоджии,2.65,Совмещенный,Да,Нет,Да,Электрическое,Смешанный,Да,Аренда,Собственник,7869863,109761,2025-08-31
1667,Приморский,Садовая,23,Парк Культуры,13,136.6,82.2,7.0,2,9,11,Деревянный,Монолит,1968,Требует капремонта,Балкон + лоджия,3.18,Раздельный,Нет,Да,Нет,Центральное,Во двор,Да,Продажа,Агентство,28705670,210144,2025-07-27
1668,Кировский,Мира,16,Проспект Мира,4,157.9,104.4,8.4,5,7,8,Кирпичный,Панель,2009,Требует капремонта,2 лоджии,3.1,2 санузла,Да,Нет,Нет,Центральное,На парк,Нет,Продажа,Застройщик,13229809,83786,2025-01-13
1669,Фрунзенский,Кирова,40,Университет,5,79.8,58.0,6.0,1,4,25,Блочный,Монолит,1981,Требует капремонта,Нет,2.88,2 санузла,Да,Нет,Нет,Центральное,На парк,Да,Аренда,Застройщик,18859453,236334,2025-08-16
1670,Октябрьский,Кирова,164,Парк Культуры,23,125.5,80.2,20.0,2,18,21,Кирпичный,Кирпич,1985,Евроремонт,Лоджия,3.34,Совмещенный,Нет,Нет,Да,Автономное,На улицу,Да,Аренда,Агентство,23001891,183282,2026-06-11
1671,Ленинский,Строителей,18,Автозаводская,39,104.2,66.0,12.9,2,5,10,Монолитно-кирпичный,Дерево,1989,Косметический,2 лоджии,2.88,Раздельный,Да,Да,Да,Автономное,Во двор,Да,Аренда,Агентство,18249900,175143,2025-12-23
1672,Западный,Садовая,167,Парк Культуры,9,88.6,52.3,10.1,6,3,11,Панельный,Панель,1960,Евроремонт,Нет,2.69,2 санузла,Да,Нет,Да,Электрическое,На реку,Нет,Аренда,Застройщик,23789808,268508,2025-04-09
1673,Фрунзенский,Кирова,44,Спортивная,2,121.2,74.4,14.2,1,6,6,Монолитный,Кирпич,2021,Косметический,Балкон + лоджия,3.0,Раздельный,Да,Да,Нет,Автономное,Во двор,Да,Аренда,Собственник,18614865,153588,2026-01-13
1674,Ленинский,Победы,15,Парк Культуры,8,142.3,104.2,11.2,3,4,18,Блочный,Панель,1979,Дизайнерский,Балкон + лоджия,2.92,Раздельный,Да,Да,Нет,Автономное,Смешанный,Да,Аренда,Собственник,42598785,299359,2026-05-04
1675,Кировский,Кирова,97,Северная,32,50.5,34.3,5.3,1,17,21,Деревянный,Монолит,1973,Евроремонт,Лоджия,2.77,Раздельный,Нет,Нет,Нет,Электрическое,На парк,Нет,Продажа,Агентство,8918148,176597,2026-06-29
1676,Западный,Строителей,85,Северная,7,141.8,80.4,13.0,6,17,23,Деревянный,Кирпич,1973,Дизайнерский,Балкон,3.33,Раздельный,Да,Нет,Да,Автономное,На парк,Да,Продажа,Собственник,36971230,260728,2025-04-24
1677,Фрунзенский,Победы,77,Юбилейная,36,127.1,94.3,21.4,6,12,29,Блочный,Монолит,1999,Косметический,Нет,3.21,2 санузла,Нет,Нет,Нет,Электрическое,На улицу,Да,Продажа,Собственник,32502266,255722,2026-04-24
1678,Приморский,Гагарина,35,Южная,23,104.7,68.6,15.7,3,6,20,Деревянный,Газобетон,2005,Евроремонт,Балкон,2.56,Совмещенный,Да,Нет,Да,Автономное,На реку,Да,Продажа,Собственник,26316763,251354,2026-02-17
1679,Южный,Мира,196,Северная,22,109.2,74.9,20.0,2,8,24,Блочный,Кирпич,1958,Требует капремонта,Балкон,2.53,Раздельный,Да,Нет,Нет,Центральное,На улицу,Нет,Аренда,Собственник,24697982,226172,2025-11-28
1680,Северный,Лесная,139,Проспект Мира,33,123.5,69.6,15.0,3,7,15,Деревянный,Газобетон,1972,Дизайнерский,2 лоджии,2.82,Раздельный,Нет,Да,Да,Газовое,На реку,Да,Продажа,Собственник,15213347,123185,2026-05-01
1681,Фрунзенский,Кирова,50,Парк Культуры,15,57.6,42.8,17.4,5,9,11,Кирпичный,Монолит,1989,Требует капремонта,Нет,2.78,Совмещенный,Да,Да,Нет,Центральное,На улицу,Да,Продажа,Собственник,7928812,137653,2025-03-28
1682,Фрунзенский,Советская,186,Южная,19,70.5,44.3,5.1,6,1,24,Монолитно-кирпичный,Панель,2008,Косметический,Балкон + лоджия,2.71,Совмещенный,Да,Да,Нет,Газовое,Смешанный,Да,Аренда,Застройщик,17908762,254025,2026-04-25
1683,Кировский,Лесная,55,Заречная,19,49.9,28.5,15.7,3,1,8,Блочный,Кирпич,1998,Без ремонта,2 лоджии,3.13,2 санузла,Да,Да,Да,Автономное,На парк,Да,Продажа,Агентство,4632765,92841,2025-06-09
1684,Советский,Университетская,189,Автозаводская,25,91.1,65.3,7.7,3,8,8,Деревянный,Панель,1959,Евроремонт,Нет,2.88,Совмещенный,Да,Нет,Да,Газовое,Во двор,Нет,Аренда,Агентство,9801813,107594,2026-04-15
1685,Октябрьский,Строителей,97,Спортивная,40,24.6,17.7,13.3,4,12,19,Кирпичный,Монолит,1970,Дизайнерский,2 лоджии,3.09,Раздельный,Нет,Да,Да,Центральное,На парк,Нет,Продажа,Агентство,3199402,130057,2025-08-09
1686,Фрунзенский,Кирова,167,Спортивная,19,73.7,46.3,17.1,4,2,21,Блочный,Газобетон,1994,Косметический,Балкон + лоджия,2.76,2 санузла,Да,Нет,Да,Автономное,На реку,Да,Продажа,Собственник,16691944,226485,2025-03-15
1687,Фрунзенский,Мира,116,Заречная,8,115.9,75.6,20.4,1,9,15,Панельный,Монолит,1974,Требует капремонта,Нет,2.6,2 санузла,Да,Да,Да,Центральное,На реку,Нет,Аренда,Застройщик,28259665,243828,2025-08-27
1688,Западный,Ленина,180,Автозаводская,35,118.2,73.3,6.1,2,6,6,Панельный,Газобетон,1998,Без ремонта,Балкон,2.56,Совмещенный,Да,Да,Нет,Центральное,На реку,Нет,Аренда,Застройщик,20109366,170130,2025-01-22
1689,Северный,Пушкина,106,Северная,18,102.6,76.9,5.2,3,3,8,Монолитно-кирпичный,Панель,2003,Дизайнерский,Лоджия,2.55,Совмещенный,Нет,Нет,Да,Газовое,Во двор,Нет,Продажа,Агентство,19681039,191823,2025-06-10
1690,Ленинский,Молодежная,104,Площадь Ленина,43,81.4,46.1,16.5,6,24,26,Блочный,Кирпич,1970,Косметический,Лоджия,2.87,Раздельный,Да,Да,Да,Газовое,Во двор,Нет,Аренда,Собственник,6996492,85952,2025-08-13
1691,Восточный,Университетская,71,Площадь Ленина,44,142.0,92.3,10.8,6,1,10,Панельный,Газобетон,1991,Косметический,Балкон,2.99,Раздельный,Нет,Нет,Да,Автономное,На реку,Нет,Продажа,Собственник,14645170,103135,2025-01-04
1692,Ленинский,Строителей,158,Автозаводская,28,91.1,55.4,21.5,6,1,18,Деревянный,Панель,1976,Требует капремонта,Лоджия,3.23,Совмещенный,Нет,Нет,Нет,Газовое,Смешанный,Да,Аренда,Собственник,14471690,158855,2025-09-21
1693,Кировский,Строителей,80,Спортивная,16,32.5,24.1,5.9,5,21,23,Блочный,Дерево,2015,Косметический,2 лоджии,2.59,Раздельный,Да,Да,Да,Автономное,Во двор,Да,Аренда,Застройщик,6544427,201367,2026-02-18
1694,Ленинский,Гагарина,96,Заречная,33,150.8,109.7,11.0,1,13,16,Кирпичный,Монолит,2026,Без ремонта,Балкон + лоджия,3.18,2 санузла,Нет,Нет,Да,Электрическое,На парк,Нет,Продажа,Агентство,46476710,308201,2026-01-17
1695,Центральный,Пушкина,46,Юбилейная,25,117.8,66.4,17.0,6,4,23,Монолитный,Газобетон,1958,Евроремонт,Балкон,2.65,2 санузла,Да,Нет,Да,Газовое,На улицу,Да,Аренда,Агентство,27682882,234999,2025-10-28
1696,Восточный,Пушкина,196,Северная,9,74.3,46.1,8.3,5,11,14,Блочный,Панель,2006,Косметический,2 лоджии,3.0,2 санузла,Да,Нет,Нет,Электрическое,На улицу,Да,Продажа,Застройщик,9674677,130211,2026-06-16
1697,Центральный,Садовая,180,Парк Культуры,32,38.3,27.6,10.0,3,17,27,Кирпичный,Панель,1980,Евроремонт,Нет,3.38,Совмещенный,Да,Да,Да,Автономное,Во двор,Да,Продажа,Собственник,3211033,83839,2025-11-16
1698,Фрунзенский,Лесная,158,Спортивная,4,51.5,36.4,8.0,4,1,4,Кирпичный,Панель,1985,Дизайнерский,Лоджия,2.68,Совмещенный,Нет,Нет,Да,Центральное,На реку,Да,Продажа,Собственник,6951624,134983,2025-02-02
1699,Фрунзенский,Пушкина,49,Южная,23,88.4,49.2,15.7,3,10,17,Кирпичный,Кирпич,1970,Дизайнерский,Лоджия,2.69,Раздельный,Нет,Да,Нет,Электрическое,На реку,Да,Аренда,Застройщик,25414027,287489,2025-08-21
1700,Восточный,Советская,3,Автозаводская,41,142.2,85.9,20.7,2,11,26,Кирпичный,Газобетон,2003,Без ремонта,Нет,3.04,Раздельный,Нет,Да,Нет,Центральное,Во двор,Нет,Продажа,Застройщик,42434186,298412,2025-01-15
1701,Южный,Строителей,7,Спортивная,37,81.6,49.1,12.8,3,19,21,Деревянный,Кирпич,2021,Требует капремонта,Лоджия,2.91,2 санузла,Да,Нет,Да,Электрическое,Смешанный,Да,Продажа,Агентство,21434688,262680,2026-01-20
1702,Центральный,Победы,25,Южная,6,78.4,51.9,13.9,2,4,4,Блочный,Монолит,2021,Дизайнерский,Нет,3.08,Совмещенный,Нет,Да,Да,Автономное,На улицу,Да,Аренда,Агентство,6285720,80175,2026-01-18
1703,Ленинский,Кирова,170,Заречная,13,152.9,94.6,9.9,4,7,7,Монолитно-кирпичный,Дерево,1998,Дизайнерский,2 лоджии,3.04,2 санузла,Нет,Нет,Да,Газовое,На реку,Нет,Аренда,Застройщик,47201300,308707,2026-01-17
1704,Фрунзенский,Победы,153,Автозаводская,3,103.1,65.0,16.5,2,4,9,Блочный,Газобетон,1978,Требует капремонта,Балкон,2.7,Раздельный,Да,Нет,Нет,Центральное,На улицу,Да,Продажа,Агентство,28767786,279028,2025-11-04
1705,Кировский,Мира,196,Проспект Мира,29,82.4,48.0,14.5,4,4,10,Блочный,Кирпич,2007,Дизайнерский,Балкон,3.06,Раздельный,Нет,Да,Да,Электрическое,Смешанный,Да,Продажа,Собственник,24960690,302921,2025-05-02
1706,Московский,Садовая,111,Университет,21,139.4,82.4,13.2,3,9,25,Панельный,Газобетон,1991,Дизайнерский,Балкон + лоджия,3.01,Совмещенный,Нет,Нет,Да,Автономное,Смешанный,Да,Аренда,Застройщик,43911278,315002,2025-05-23
1707,Южный,Университетская,187,Площадь Ленина,15,124.6,84.2,10.8,1,4,13,Панельный,Газобетон,1986,Дизайнерский,Балкон,3.3,2 санузла,Нет,Да,Да,Автономное,На улицу,Да,Аренда,Агентство,33744296,270821,2025-03-09
1708,Восточный,Садовая,132,Площадь Ленина,9,51.3,35.8,16.5,2,5,12,Монолитно-кирпичный,Кирпич,1986,Косметический,2 лоджии,2.83,2 санузла,Да,Нет,Нет,Электрическое,На парк,Да,Аренда,Агентство,10221268,199245,2026-03-05
1709,Советский,Садовая,18,Площадь Ленина,36,68.2,41.1,16.8,6,18,24,Деревянный,Панель,1998,Косметический,Нет,3.23,Раздельный,Нет,Да,Да,Центральное,Во двор,Да,Продажа,Собственник,17131703,251198,2025-08-19
1710,Центральный,Мира,164,Спортивная,12,79.7,56.0,12.4,3,7,14,Кирпичный,Газобетон,1960,Требует капремонта,Балкон + лоджия,3.15,2 санузла,Да,Нет,Да,Автономное,На улицу,Нет,Аренда,Агентство,13094311,164295,2025-11-21
1711,Ленинский,Советская,156,Южная,34,91.9,52.4,6.8,2,6,7,Деревянный,Кирпич,2017,Требует капремонта,2 лоджии,2.51,Совмещенный,Нет,Нет,Да,Электрическое,Во двор,Нет,Продажа,Собственник,19701062,214375,2025-04-13
1712,Октябрьский,Лесная,31,Юбилейная,30,84.6,53.6,5.4,2,8,9,Монолитный,Монолит,2024,Дизайнерский,Балкон + лоджия,3.22,Совмещенный,Нет,Да,Нет,Центральное,На улицу,Да,Аренда,Собственник,8222612,97194,2026-05-23
1713,Южный,Пушкина,142,Университет,31,92.5,58.4,6.7,6,20,23,Монолитно-кирпичный,Дерево,2017,Требует капремонта,Нет,2.7,Совмещенный,Нет,Да,Нет,Газовое,На парк,Нет,Продажа,Собственник,24540897,265307,2026-06-22
1714,Западный,Мира,167,Заречная,16,82.0,58.5,17.9,4,13,24,Кирпичный,Монолит,1958,Евроремонт,Балкон + лоджия,2.98,Совмещенный,Да,Нет,Нет,Газовое,Во двор,Да,Продажа,Собственник,14141064,172452,2025-08-31
1715,Приморский,Советская,31,Юбилейная,41,142.8,92.0,15.9,2,9,30,Монолитный,Панель,1998,Дизайнерский,Балкон,3.34,Совмещенный,Нет,Нет,Нет,Электрическое,На парк,Нет,Продажа,Застройщик,32348912,226533,2026-04-25
1716,Северный,Мира,122,Северная,19,40.4,29.2,21.4,3,19,28,Монолитный,Дерево,1998,Дизайнерский,Лоджия,2.93,2 санузла,Нет,Нет,Да,Центральное,Смешанный,Да,Аренда,Застройщик,4433496,109740,2025-06-29
1717,Западный,Пушкина,132,Заречная,43,29.5,19.0,19.4,3,4,7,Кирпичный,Дерево,2013,Без ремонта,Нет,2.83,Совмещенный,Нет,Да,Да,Электрическое,На парк,Нет,Продажа,Агентство,9042900,306539,2026-07-14
1718,Московский,Пушкина,191,Университет,28,111.2,63.9,16.7,6,19,24,Монолитный,Дерево,2025,Косметический,2 лоджии,3.27,Совмещенный,Да,Да,Нет,Электрическое,Смешанный,Да,Продажа,Собственник,32664666,293747,2025-07-27
1719,Кировский,Молодежная,161,Заречная,42,70.5,45.0,21.2,4,1,22,Блочный,Газобетон,1966,Без ремонта,Лоджия,2.76,Совмещенный,Да,Нет,Нет,Центральное,Смешанный,Нет,Продажа,Застройщик,21391462,303425,2025-09-13
1720,Приморский,Садовая,37,Юбилейная,11,148.8,93.5,15.1,3,13,18,Панельный,Дерево,2009,Евроремонт,2 лоджии,2.84,Совмещенный,Да,Нет,Да,Центральное,На улицу,Нет,Продажа,Агентство,36754641,247007,2026-06-18
1721,Московский,Ленина,18,Университет,29,143.8,99.5,21.1,1,2,13,Монолитный,Кирпич,1999,Без ремонта,Нет,2.75,2 санузла,Нет,Да,Да,Центральное,Смешанный,Да,Аренда,Агентство,23867348,165976,2026-04-27
1722,Центральный,Кирова,91,Заречная,19,117.4,80.4,6.9,1,6,30,Панельный,Панель,2016,Косметический,Лоджия,2.85,Совмещенный,Да,Да,Да,Электрическое,На улицу,Нет,Аренда,Застройщик,22736153,193664,2026-05-19
1723,Октябрьский,Пушкина,102,Южная,1,108.5,76.4,8.7,5,10,12,Деревянный,Кирпич,1961,Косметический,Балкон + лоджия,2.62,Раздельный,Да,Да,Да,Автономное,На парк,Нет,Продажа,Застройщик,15941796,146929,2026-05-09
1724,Ленинский,Садовая,16,Проспект Мира,44,122.7,69.5,22.0,5,5,27,Монолитно-кирпичный,Кирпич,2015,Евроремонт,Нет,2.98,Раздельный,Нет,Да,Да,Автономное,На парк,Да,Аренда,Застройщик,33043232,269301,2025-06-01
1725,Северный,Строителей,120,Заречная,39,59.2,43.7,17.9,3,2,7,Панельный,Кирпич,1996,Косметический,Балкон + лоджия,3.19,Раздельный,Да,Да,Нет,Центральное,На реку,Нет,Продажа,Застройщик,14146136,238955,2025-07-26
1726,Кировский,Советская,107,Юбилейная,10,33.6,22.9,20.2,3,5,21,Блочный,Дерево,1963,Косметический,Балкон,3.25,Совмещенный,Да,Да,Да,Газовое,Во двор,Нет,Аренда,Агентство,9268392,275845,2025-06-09
1727,Московский,Университетская,73,Заречная,38,109.2,79.2,9.7,2,8,27,Деревянный,Газобетон,1977,Дизайнерский,Лоджия,3.12,Совмещенный,Да,Да,Нет,Газовое,Смешанный,Да,Продажа,Застройщик,7750579,70976,2026-06-27
1728,Северный,Гагарина,35,Автозаводская,8,146.7,84.5,7.0,2,1,4,Монолитный,Панель,1975,Косметический,Нет,3.1,Раздельный,Да,Нет,Да,Газовое,Смешанный,Да,Аренда,Собственник,18333832,124975,2025-12-10
1729,Западный,Мира,154,Юбилейная,33,82.4,49.2,9.3,1,7,21,Монолитный,Газобетон,1993,Евроремонт,Лоджия,2.5,Совмещенный,Да,Да,Да,Автономное,Во двор,Нет,Аренда,Собственник,13355309,162079,2025-06-15
1730,Центральный,Лесная,32,Юбилейная,4,120.5,67.8,11.4,5,5,7,Блочный,Газобетон,1990,Без ремонта,Нет,3.4,Раздельный,Нет,Нет,Да,Газовое,Во двор,Нет,Продажа,Агентство,35192868,292057,2026-01-11
1731,Ленинский,Победы,71,Парк Культуры,25,94.4,66.7,17.5,3,13,17,Деревянный,Кирпич,2019,Требует капремонта,2 лоджии,2.75,Совмещенный,Нет,Нет,Да,Автономное,Смешанный,Да,Аренда,Застройщик,12401422,131371,2025-01-04
1732,Северный,Молодежная,74,Площадь Ленина,42,59.9,35.1,7.7,2,11,14,Блочный,Газобетон,1998,Косметический,Балкон,3.11,2 санузла,Да,Да,Нет,Центральное,На парк,Нет,Аренда,Застройщик,11519968,192320,2026-05-08
1733,Западный,Кирова,116,Северная,35,82.8,51.1,5.5,3,1,11,Монолитный,Панель,1970,Дизайнерский,2 лоджии,2.92,Раздельный,Да,Да,Да,Электрическое,На парк,Нет,Аренда,Собственник,18939340,228736,2025-08-29
1734,Ленинский,Кирова,36,Южная,10,32.8,18.4,15.6,4,4,7,Монолитно-кирпичный,Газобетон,2007,Требует капремонта,Балкон + лоджия,3.17,2 санузла,Да,Да,Нет,Газовое,На улицу,Нет,Продажа,Застройщик,2869671,87490,2025-09-29
1735,Московский,Садовая,175,Университет,35,72.6,44.5,17.2,3,1,5,Панельный,Газобетон,1983,Дизайнерский,Лоджия,3.28,Раздельный,Да,Да,Да,Центральное,Смешанный,Нет,Аренда,Собственник,5680369,78242,2025-07-07
1736,Московский,Ленина,27,Юбилейная,17,80.0,51.8,21.5,5,17,18,Деревянный,Панель,1967,Без ремонта,Балкон + лоджия,3.28,2 санузла,Нет,Да,Нет,Автономное,На улицу,Да,Продажа,Агентство,15381360,192267,2026-04-04
